N,fx,fy,fs,direction,dropout,hidden_size,lr,num_layers,n_params,inference_10k_s,train_time_s,accuracy,precision,recall,f1,best_epoch
200,37,23,800,bidirectional,0,128,0.001,3,927242,1.1177977,482.5695576,93.75,93.72702616,93.67874828,93.68637736,17
200,37,23,800,bidirectional,0,128,0.01,3,927242,1.1199213,891.3022516,81.58,81.55146524,81.42531797,81.44975741,50
200,37,23,800,unidirectional,0,128,0.001,3,332554,0.539456,273.2083001,93.28,93.22645443,93.23574225,93.21420335,18
200,37,23,800,unidirectional,0,128,0.01,3,332554,0.5358139,115.1889931,11.35,1.135,10,2.038616974,2
200,37,23,800,bidirectional,0.2,128,0.001,3,927242,1.1191561,763.8259548,94.51,94.43941885,94.4693854,94.45248674,31
200,37,23,800,bidirectional,0.2,128,0.01,3,927242,1.1388844,344.4088142,65.97,65.6598372,65.68945418,65.43550243,8
200,37,23,800,unidirectional,0.2,128,0.001,3,332554,0.540884,125.217761,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0.2,128,0.01,3,332554,0.5371818,462.6410542,94.09,94.03024484,94.0462276,94.03395512,33
200,37,23,800,bidirectional,0,128,0.001,4,1322506,1.5112068,1184.561561,94.18,94.10328042,94.11869392,94.10817235,48
200,37,23,800,bidirectional,0,128,0.01,4,1322506,1.5142687,518.6743348,11.55,5.488071215,10.20533881,2.439230539,12
200,37,23,800,unidirectional,0,128,0.001,4,464650,0.7179629,544.8378235,93.39,93.31458853,93.33941324,93.32008041,35
200,37,23,800,unidirectional,0,128,0.01,4,464650,0.7176484,134.1219119,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0.2,128,0.001,4,1322506,1.514027,729.6718563,93.88,93.84819917,93.82183484,93.82361211,19
200,37,23,800,bidirectional,0.2,128,0.01,4,1322506,1.5129856,303.9487429,11.68,10.30576743,10.32101167,2.665530052,2
200,37,23,800,unidirectional,0.2,128,0.001,4,464650,0.7142178,703.0816931,94.11,94.05275824,94.05934888,94.05038927,50
200,37,23,800,unidirectional,0.2,128,0.01,4,464650,0.7162658,156.7989143,11.37,11.13522705,10.02242152,2.083725932,1
200,37,23,800,bidirectional,0,256,0.001,1,535562,1.5494341,662.1391759,93.48,93.41021538,93.44109288,93.41321021,17
200,37,23,800,bidirectional,0,256,0.01,1,535562,1.6749488,1226.91993,87.48,87.49681187,87.45500918,87.31883102,44
200,37,23,800,unidirectional,0,256,0.001,1,267786,0.6877615,576.8040917,93.73,93.64579684,93.68661487,93.65389218,31
200,37,23,800,unidirectional,0,256,0.01,1,267786,0.8111251,451.7332642,92.19,92.13102915,92.08598403,92.09052613,23
200,37,23,800,bidirectional,0.2,256,0.001,1,535562,1.7202924,1040.004669,93.79,93.7313824,93.74054407,93.72855665,32
200,37,23,800,bidirectional,0.2,256,0.01,1,535562,1.4106172,1090.951504,93.8,93.75463256,93.72762461,93.73107465,34
200,37,23,800,unidirectional,0.2,256,0.001,1,267786,0.8881702,562.8288849,93.06,92.9806547,92.99047181,92.98194259,31
200,37,23,800,unidirectional,0.2,256,0.01,1,267786,0.742451,580.0973919,84.9,85.45806435,84.78582343,84.82496626,32
200,37,23,800,bidirectional,0,256,0.001,2,2112522,4.0049216,2526.734648,94.34,94.2599471,94.29764201,94.27339738,34
200,37,23,800,bidirectional,0,256,0.01,2,2112522,4.5600375,634.9444947,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.001,2,794122,1.908588,1002.407614,93.54,93.48009923,93.49184715,93.48028088,31
200,37,23,800,unidirectional,0,256,0.01,2,794122,1.5970331,1220.97204,91.9,91.81762052,91.81931762,91.79710053,50
200,37,23,800,bidirectional,0.2,256,0.001,2,2112522,4.5429357,1789.444533,93.95,93.87089651,93.90094755,93.87875969,19
200,37,23,800,bidirectional,0.2,256,0.01,2,2112522,4.4827578,3086.17174,53.14,53.74935043,52.52873986,51.24874447,41
200,37,23,800,unidirectional,0.2,256,0.001,2,794122,1.7698716,1429.648854,93.21,93.12990048,93.15197089,93.13711209,46
200,37,23,800,unidirectional,0.2,256,0.01,2,794122,1.8549086,342.4847795,11.35,1.135,10,2.038616974,2
200,37,23,800,bidirectional,0,256,0.001,3,3689482,6.250988,2515.183636,94.75,94.70986267,94.70426006,94.69860061,16
200,37,23,800,bidirectional,0,256,0.01,3,3689482,6.3016865,1255.772304,35.53,30.81732781,34.44474068,28.01221831,3
200,37,23,800,unidirectional,0,256,0.001,3,1320458,3.5186744,457.4785145,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.01,3,1320458,3.1669047,666.3205481,11.35,1.135,10,2.038616974,6
200,37,23,800,bidirectional,0.2,256,0.001,3,3689482,6.089979,4403.650182,94.77,94.71575946,94.74163264,94.72399641,35
200,37,23,800,bidirectional,0.2,256,0.01,3,3689482,6.1315016,1550.148219,11.46,4.931404521,10.11293634,2.263282187,6
200,37,23,800,unidirectional,0.2,256,0.001,3,1320458,3.2323441,2037.607527,94.47,94.39382681,94.43861151,94.4111544,36
200,37,23,800,unidirectional,0.2,256,0.01,3,1320458,2.9548264,479.0293894,11.35,1.135,10,2.038616974,1
200,37,23,800,bidirectional,0,256,0.001,4,5266442,7.8319554,3261.052616,94.44,94.37673659,94.37808266,94.3735832,16
200,37,23,800,bidirectional,0,256,0.01,4,5266442,7.9016813,1360.471417,11.35,1.135,10,2.038616974,1
200,37,23,800,unidirectional,0,256,0.001,4,1846794,4.111813,2668.68677,93.84,93.77135017,93.78174074,93.7745215,38
200,37,23,800,unidirectional,0,256,0.01,4,1846794,4.2876648,1331.158343,11.35,1.135,10,2.038616974,14
